communication management	social obligations management	task	feedback-value	feedback	sentiment	sentiment-value	opinion	opinion-value	emotion	emotion-value	knowledge	discourse structure management	partiality	conditionality	certainty	irony	date	time	participant	segment	raw
																	dim. nov. 02 2014	03:27	dae_		Err :508
																	dim. nov. 02 2014	03:27	dae_	chose qui changera en avril	chose qui changera en avril
																	dim. nov. 02 2014	03:29	dae_	ta essayer d'installer les paquet comme ils disent sur doc.ubuntu ?	ta essayer d'installer les paquet comme ils disent sur doc.ubuntu ?
																	dim. nov. 02 2014	03:29	dae_	et le ppa nvidia ?	et le ppa nvidia ?
							inform	depreciate						conditional			dim. nov. 02 2014	03:30	beaver	une meilleur prise en charge de ton matériel sur un o/s prédéfini , ne veut pas dire qu'il sera plus tollérent aux pannes dae _ :/,	une meilleur prise en charge de ton matériel sur un o/s prédéfini, ne veut pas dire qu'il sera plus tollérent aux pannes dae_ :/, le ppa nvidia, c'est quoi au juste ? il te propose la derniere version de ton driver ?
																			\	le ppa nvidia , c' est quoi au juste ?	
																			\	il te propose la derniere version de ton driver ?	
																	dim. nov. 02 2014	03:30	beaver	meilleure (*)	meilleure(*)
		answerPositively													uncertain		dim. nov. 02 2014	03:31	dae_	je suppose	je suppose
		inform															dim. nov. 02 2014	03:31	dae_	je suis sous intel moi	je suis sous intel moi
																	dim. nov. 02 2014	03:31	beaver	tolérent (*) :),	tolérent(*) :), mh, bein j'ai essayé via le .run en fait aussi, le probleme est le meme
					inform	unsatisfied													\	mh , bein j' ai essayé via le . run en fait aussi , le probleme est le meme	
																	dim. nov. 02 2014	03:31	beaver	le . run que j' ai téléchargé propose la derniere version de mon driver	le .run que j'ai téléchargé propose la derniere version de mon driver
					inform	unsatisfied											dim. nov. 02 2014	03:32	beaver	ça démarre tout ça … mais le probleme persiste	ça démarre tout ça … mais le probleme persiste
									inform	unhappy							dim. nov. 02 2014	03:32	beaver	ok 03:35 (beaver)> c'est desesperant ..	ok
																	dim. nov. 02 2014	03:35	beaver		c'est desesperant..
									requestForInformation	unhappy							dim. nov. 02 2014	03:37	dae_	tu veux un truc vraiment désesperant ?	tu veux un truc vraiment désesperant ? mon frigo/placard /compte en banque vide
					inform	unsatisfied													\	mon frigo/placard / compte en banque vide	
																	dim. nov. 02 2014	03:37	dae_	je sort une boule de patte brisé de mon freeze que j' avais préparré " au cas ou " une envis de tarte me prenne	je sort une boule de patte brisé de mon freeze que j'avais préparré "au cas ou" une envis de tarte me prenne
									inform	anger							dim. nov. 02 2014	03:38	dae_	bah elle a moisie dans mon freeze cette salope !!	bah elle a moisie dans mon freeze cette salope !!
					inform	unsatisfied											dim. nov. 02 2014	03:38	beaver	je te rassure dae _ c' est un probleme de plus me concernant , il manque 150€ pour mon loyer , je trouve pas … c' est la rue en hiver	je te rassure dae_ c'est un probleme de plus me concernant, il manque 150€ pour mon loyer, je trouve pas … c'est la rue en hiver
									inform	unhappy							dim. nov. 02 2014	03:38	dae_	ça c' est vraiment desesperent	ça c'est vraiment desesperent
		inform															dim. nov. 02 2014	03:38	dae_	legalement ta un bon delais avant de te faire expulsé	legalement ta un bon delais avant de te faire expulsé
		inform							inform	happy				conditional			dim. nov. 02 2014	03:39	beaver	sauf , si t' es pas déclaré que t' as aucun bail :), bref	sauf, si t'es pas déclaré que t'as aucun bail :), bref
		commit												conditional			dim. nov. 02 2014	03:39	dae_	si ta besoin de conseil la dessus je peux te donner quelques info en privat	si ta besoin de conseil la dessus je peux te donner quelques info en privat
		answerByRequestForAction												conditional			dim. nov. 02 2014	03:39	beaver	beins viens si tu veux	beins viens si tu veux
																	dim. nov. 02 2014	03:41	dae_	tu es abs	tu es abs
									inform	happy		conclude			uncertain		dim. nov. 02 2014	04:18	beaver	bon donc pour mon probleme nvidia , on a fait le tour je pense :)	bon donc pour mon probleme nvidia, on a fait le tour je pense :)
																	dim. nov. 02 2014	06:20	soulseek	bonjour aux lève tôt	bonjour aux lève tôt
									inform	love		introduceTopic					dim. nov. 02 2014	06:21	soulseek	je cherhce à intaller sousseek sur ubuntu	je  cherhce à intaller sousseek sur ubuntu
																	dim. nov. 02 2014	06:22	soulseek	ai téléchargé le soft sur http://www.soulseekqt.net/news/node/1	ai téléchargé le soft sur  http://www.soulseekqt.net/news/node/1
					inform	unsatisfied											dim. nov. 02 2014	06:22	soulseek	mai désormais suis bloqué	mai désormais suis bloqué
																	dim. nov. 02 2014	06:23	soulseek	Il faut installer des paquets ?	Il faut installer des paquets ? Via le terminal ?
																			\	Via le terminal ?	
		requestForHelp															dim. nov. 02 2014	06:23	soulseek	si vous avez une idée	si vous avez une idée
																	dim. nov. 02 2014	08:44	AlexxC	bonjour	bonjour
																	dim. nov. 02 2014	10:03	OERIAS	Bonjour Black-Devil	Bonjour Black-Devil
	requestForInformation																dim. nov. 02 2014	10:04	OERIAS	Ça Va ?	Ça Va?
																	dim. nov. 02 2014	10:04	Black-Devil	Salut ,	Salut, oui, je me porte bien. Et toi ?
	answerPositively																		\	oui , je me porte bien	
	requestForInformation																		\	Et toi ?	
		requestForInformation										introduceTopic					dim. nov. 02 2014	10:08	Black-Devil	Est-ce que quelqu'un a quelques astuces pour accélérer un peu Xubuntu 14.04 ?	Est-ce que quelqu'un a quelques astuces pour accélérer un peu Xubuntu 14.04 ?
							inform	depreciate								ironie	dim. nov. 02 2014	10:08	coyotus	utilise un SSD 10:08 (coyotus)> :p	utilise un SSD
																	dim. nov. 02 2014	10:08	coyotus		:p
		requestForAction														ironie	dim. nov. 02 2014	10:08	coyotus	utilise windows un mois	utilise windows un mois
		answer														ironie	dim. nov. 02 2014	10:09	coyotus	quand tu reviendra dessus tu trouvera xubuntu vachement rapide	quand tu reviendra dessus tu trouvera xubuntu vachement rapide
									inform	anger						ironie	dim. nov. 02 2014	10:10	Black-Devil	Sacrilège !	Sacrilège ! Tu as prononcé le mot interdit !
									inform	anger						ironie			\	Tu as prononcé le mot interdit !	
																	dim. nov. 02 2014	10:10	soulsseek	bonjour	bonjour
																	dim. nov. 02 2014	10:10	soulsseek	ai téléchargé soulseekQT	ai téléchargé soulseekQT
																	dim. nov. 02 2014	10:10	Black-Devil	Salut	Salut
					inform	unsatisfied											dim. nov. 02 2014	10:10	soulsseek	mais ne sai pas comment l' installer	mais ne sai pas comment l'installer
		answerPositively							inform	happy						ironie	dim. nov. 02 2014	10:10	Black-Devil	Mouais , faudrait que j' essaie ça coyotus : D	Mouais, faudrait que j'essaie �a coyotus :D
																	dim. nov. 02 2014	10:11	soulsseek	il faut télécharger des paquets ou passer par le terminal 10:11 (soulsseek)> ?	il faut télécharger des paquets ou passer par le terminal
																	dim. nov. 02 2014	10:11	soulsseek		?
																	dim. nov. 02 2014	10:11	soulsseek	je suis avec une version 13.04 d'ubuntu	je suis avec une version 13.04 d'ubuntu
																	dim. nov. 02 2014	10:11	Black-Devil	attends	attends je fais des recherches sur ce qu'est soulsseekQT et je te dis ce que j'en pense
		commit																	\	je fais des recherches sur ce qu'est soulsseekQT et je te dis ce que j' en pense	
																	dim. nov. 02 2014	10:12	soulsseek	c'est genre emule	c'est genre emule
																	dim. nov. 02 2014	10:12	Calinou	la 13.04 n'est plus prise en charge 10:12 (Calinou)> (depuis janvier 2014 )	la 13.04 n'est plus prise en charge
																	dim. nov. 02 2014	10:12	Calinou		(depuis janvier 2014)
																	dim. nov. 02 2014	10:12	soulsseek	un client peer-to-peer	un client peer-to-peer
																	dim. nov. 02 2014	10:12	soulsseek	yep calinou avais vu que a 13.04 était obsolète	yep calinou avais vu que a 13.04 était obsolète
																	dim. nov. 02 2014	10:12	soulsseek	tu me conseilles quoi	tu me conseilles quoi
																	dim. nov. 02 2014	10:13	Black-Devil	Ah ouas effectivement ,	Ah ouas effectivement, tu as essayé une upgrade vers une version plus récente ?
																			\	tu as essayé une upgrade vers une version plus récente ?	
																	dim. nov. 02 2014	10:13	Black-Devil	ouais *	ouais*
		requestForInformation															dim. nov. 02 2014	10:13	soulsseek	de passer à la 14.04	de passer à la 14.04
		answerPositively															dim. nov. 02 2014	10:13	Black-Devil	Par exemple	Par exemple
																	dim. nov. 02 2014	10:13	soulsseek	(qui est un LTS )	(qui est un LTS )
																	dim. nov. 02 2014	10:13	soulsseek	ok ...	ok...
																	dim. nov. 02 2014	10:14	soulsseek	Est-ce que les logiciels vont migrer eux même 10:14 (soulsseek)> où je devrais tout réinstaller 10:14 (soulsseek)> ?	Est-ce que les logiciels vont migrer eux même
																	dim. nov. 02 2014	10:14	soulsseek		où je devrais tout réinstaller
																	dim. nov. 02 2014	10:14	soulsseek		?
		answer												conditional			dim. nov. 02 2014	10:15	Black-Devil	En fait , si tu fais une mise à niveau ( et le but d'une mise à niveau d'ailleurs ) c' est que tu gardes tous tes documents et logiciels	En fait, si tu fais une mise à niveau ( et le but d'une mise à niveau d'ailleurs ) c'est que tu gardes tous tes documents et logiciels
			execution	answerPositively									partial		uncertain		dim. nov. 02 2014	10:15	coyotus	normalement ceux des dépots oui	normalement ceux des dépots oui
			execution	answerNegatively									partial				dim. nov. 02 2014	10:15	coyotus	ceux installé manuellement non	ceux installé manuellement non
																	dim. nov. 02 2014	10:15	Black-Devil	Et les logiciels que tu as installés vont se mettre à jour	Et les logiciels que tu as installés vont se mettre à jour
		answerNegatively											partial				dim. nov. 02 2014	10:15	coyotus	pas tous	pas tous
																	dim. nov. 02 2014	10:16	Black-Devil	Enfin , oui , eux que tu as installé via les dépots	Enfin, oui, eux que tu as installé via les dépots
correct																	dim. nov. 02 2014	10:16	Black-Devil	ceux *	ceux*
																	dim. nov. 02 2014	10:17	Black-Devil	Une mise à niveau te prends plusieurs heures , fais ça quand tu as le tems	Une mise à niveau te prends plusieurs heures, fais ça quand tu as le tems
correct																	dim. nov. 02 2014	10:18	Black-Devil	temps *	temps*
																	lun. nov. 03 2014	00:00	hanjo	Bonsoir	Bonsoir
		requestForHelp															lun. nov. 03 2014	00:01	hanjo	Qui peut m' aider avec mon petit problème ?	Qui peut m'aider avec mon petit problème ?
		requestForAction															lun. nov. 03 2014	00:03	tobiasBora	Pose ta question ,	Pose ta question, si quelqu'un peut t'aider il se manifestera ;)
		commit												conditional					\	si quelqu'un peut t' aider il se manifestera ;)	
		requestForDirectives										introduceTopic					lun. nov. 03 2014	00:04	hanjo	Comment supprimer ( ou corriger ) java ?	Comment supprimer (ou corriger) java ?
		requestForInformation	evaluation	answerNegatively													lun. nov. 03 2014	00:04	tobiasBora	Corriger	Corriger ?
																	lun. nov. 03 2014	00:04	tobiasBora	Pour supprimer java c' est juste sudo apt-get remove java	Pour supprimer java c'est juste sudo apt-get remove java
					inform	unsatisfied											lun. nov. 03 2014	00:04	hanjo	Java plante a chanque demarage	Java plante a chanque demarage
																	lun. nov. 03 2014	00:05	tobiasBora	Comment ?	Comment ?
																	lun. nov. 03 2014	00:05	tobiasBora	(Tu as un message d'erreur d'un logiciel en particulier ?)	(Tu as un message d'erreur d'un logiciel en particulier ?)
																	lun. nov. 03 2014	00:05	aliasananas	C'est le java " officiel " ou openjdk ?	C'est le java "officiel" ou openjdk ?
																	lun. nov. 03 2014	00:06	hanjo	Le message d'erreur est toujours trop lent à s' afficher ,	Le message d'erreur est toujours trop lent à s'afficher, c'est java officiel aparamant.
																			\	c' est java officiel aparamant .	
																	lun. nov. 03 2014	00:07	aliasananas	Comment tu t' en rends compte que ça plante ?	Comment tu t'en rends compte que ça plante ?
	apologizing																lun. nov. 03 2014	00:07	tobiasBora	Euh en effet pardon	Euh en effet pardon ça devrait être apt-get remove openjdk-<ta version>
																			\	ça devrait être apt-get remove openjdk- <ta version>	
																	lun. nov. 03 2014	00:08	hanjo	Unmessage d'erreur dit qu'ubuntu a rencontré une erreur , en fouillant un peut j' au vu marqué java	Unmessage d'erreur dit qu'ubuntu a rencontré une erreur, en fouillant un peut j'au vu marqué java
																	lun. nov. 03 2014	00:11	tobiasBora	Uhm	Uhm
		correct													uncertain		lun. nov. 03 2014	00:11	tobiasBora	Je doute que supprimer java résoudre ton problème	Je doute que supprimer java résoudre ton problème
																	lun. nov. 03 2014	00:11	tobiasBora	tu as tenté une mise à jour de ton système ?	tu as tenté une mise à jour de ton système ?
		requestForAction															lun. nov. 03 2014	00:11	tobiasBora	(via sudo apt-get update && sudo apt-get upgrade )	(via sudo apt-get update && sudo apt-get upgrade)
																	lun. nov. 03 2014	00:13	hanjo	Oui	Oui et aucun changement
					inform	unsatisfied													\	et aucun changement	
		inform															lun. nov. 03 2014	00:14	tobiasBora	Il doit y avoir un moyen d'avoir plus d'infos sur l' erreur	Il doit y avoir un moyen d'avoir plus d'infos sur l'erreur
		inform															lun. nov. 03 2014	00:15	tobiasBora	Typiquement à coup de cat / var/log/ <fichierxxx>	Typiquement à coup de cat /var/log/<fichierxxx> mais je ne sais pas où ubuntu à l'habitude de mettre ce type d'erreurs
																			\	mais je ne sais pas où ubuntu à l' habitude de mettre ce type d'erreurs	
		requestForAction															lun. nov. 03 2014	00:15	tobiasBora	essaye voir de faire " cat . xsession-errors | pastebinit "	essaye voir de faire "cat .xsession-errors | pastebinit"
																	lun. nov. 03 2014	00:17	tobiasBora	Par contre je suis désolé	Par contre je suis désolé mais je dois y aller
												preclosing							\	mais je dois y aller	
																	lun. nov. 03 2014	00:45	dourmo	salut tlm	salut tlm
																	lun. nov. 03 2014	01:48	cisse125	slt tt le monde	slt tt le monde
																	lun. nov. 03 2014	01:48	cisse125	je suis nv ici	je suis nv ici
																	lun. nov. 03 2014	04:56	soulseek	soir	'soir
																	lun. nov. 03 2014	04:56	soulseek	aux noctambumes	aux noctambumes
																	lun. nov. 03 2014	04:56	soulseek	noctambules *	noctambules*
																	lun. nov. 03 2014	05:03	soulseek	quelqu'un saurait-il comment supprimer les mots de passes retenus par ubuntu	quelqu'un saurait-il comment supprimer les mots de passes retenus par ubuntu
																	lun. nov. 03 2014	05:03	soulseek	?	?
																	lun. nov. 03 2014	05:03	soulseek	suis allé voir dans mon trosseau de clés	suis allé voir dans mon trosseau de clés
					inform	unsatisfied											lun. nov. 03 2014	05:03	soulseek	mais je ne vois rien	mais je ne vois rien
																	lun. nov. 03 2014	05:04	soulseek	:(	:(
																	lun. nov. 03 2014	09:41	jluc	Hello	Hello
					inform	unsatisfied											lun. nov. 03 2014	09:42	jluc	Bien que l' application calculatrice soit bien associée à la touche calculatrice , la calculatrice ne se lance pas quand j' appuie sur la touche calculatrice	Bien que l'application calculatrice soit bien associée à la touche calculatrice, la calculatrice ne se lance pas quand j'appuie sur la touche calculatrice
																	lun. nov. 03 2014	09:43	jluc	Comment corriger cela ?	Comment corriger cela ?
																	lun. nov. 03 2014	09:43	Marmotte	quelle touche calculatrice ?	quelle touche calculatrice ?
																	lun. nov. 03 2014	09:43	jluc	la touche calculatrice de mon clavier	la touche calculatrice de mon clavier
																	lun. nov. 03 2014	09:44	jluc	appelée " calculator " dans le dialogue de réglage clavier Ubuntu	appelée "calculator" dans le dialogue de réglage clavier Ubuntu
																	lun. nov. 03 2014	09:44	avelldiroll	probablement un clavier " etendu " avec des touches dans un format proprio , avec un souvent un support aleatoire sous linux	probablement un clavier "etendu" avec des touches dans un format proprio, avec un souvent un support aleatoire sous linux
					inform	unsatisfied											lun. nov. 03 2014	09:44	jluc	ça marchait ya pas si longtemps	ça marchait ya pas si longtemps
		inform													uncertain		lun. nov. 03 2014	09:45	jluc	Je me souviens plus trop ce que j' ai fait pour que ça marche plus	Je me souviens plus trop ce que j'ai fait pour que ça marche plus
		inform													uncertain		lun. nov. 03 2014	09:46	jluc	peut être j' ai édité un fichier de raccourcis quelque part - mais je vois pas pourquoi - j' édite les fichiers qui associent un type mime avec une extension , mais pas les raccourcis claviers	peut être j'ai édité un fichier de raccourcis quelque part - mais je vois pas pourquoi - j'édite les fichiers qui associent un type mime avec une extension, mais pas les raccourcis claviers
signalError																	lun. nov. 03 2014	09:46	jluc	euh je voulais écrire :	euh je voulais écrire : qui associent un type mime avec une application
correct																			\	qui associent un type mime avec une application	
		inform													uncertain		lun. nov. 03 2014	09:47	jluc	peut être j' ai simplement désassocié temporairement la calculatrice de la touche ' calculator ' avec les réglages ubuntu , et ça revient pas correctement en arrière	peut être j'ai simplement désassocié temporairement la calculatrice de la touche 'calculator' avec les réglages ubuntu, et ça revient pas correctement en arrière
																	lun. nov. 03 2014	09:48	jluc	Et la lense " calcul " n'est pas activée dans unity non plus	Et la lense "calcul" n'est pas activée dans unity non plus
					inform	satisfied											lun. nov. 03 2014	09:55	jluc	Bon j' ai installé compizsetting-manager et j' ai pu régler ça	Bon j'ai installé compizsetting-manager et j'ai pu régler ça
																	lun. nov. 03 2014	09:56	jluc	compizconfig-settings-manager plutôt	compizconfig-settings-manager plutôt
																	lun. nov. 03 2014	09:57	jluc	merci http://askubuntu.com/questions/321525/how-to-connect-a-calculator-button-on-a-keyboard-with-a-call-of-a-calculator	merci http://askubuntu.com/questions/321525/how-to-connect-a-calculator-button-on-a-keyboard-with-a-call-of-a-calculator
																	lun. nov. 03 2014	10:57	davlefou	Bonjour ,	Bonjour,
																	lun. nov. 03 2014	10:57	davlefou	si on gnome shell , doit on supprimer unity ?	si on gnome shell, doit on supprimer unity?
					inform	unsatisfied											lun. nov. 03 2014	11:01	avelldiroll	a priori non , enfin je n'utilise ni l' un ni l' autre , mais je ne vois pas de raison que ca bloque	a priori non, enfin je n'utilise ni l'un ni l'autre, mais je ne vois pas de raison que ca bloque
signalError																	lun. nov. 03 2014	11:04	Marmotte	la réponse dépend peut être du mot manquant : D	la réponse dépend peut être du mot manquant :D
																	lun. nov. 03 2014	11:06	avelldiroll	:)	:)
																	lun. nov. 03 2014	11:07	avelldiroll	exact ,	exact, je repondais avec le mot "installe" dans la question
correct																			\	je repondais avec le mot " installe " dans la question	
inform																	lun. nov. 03 2014	11:07	avelldiroll	mais ca marche aussi avec " utilise "	mais ca marche aussi avec "utilise"
inform																	lun. nov. 03 2014	11:07	avelldiroll	avec " supprime " y a un on potentiel de betises par contre	avec "supprime" y a un on potentiel de betises par contre
requestForInformation																	lun. nov. 03 2014	11:08	Marmotte	et avec " développe ", ça donne quoi ?	et avec "développe", ça donne quoi ? ^^
																			\	^^	
																	lun. nov. 03 2014	11:50	nW44b	haha	haha
																	lun. nov. 03 2014	12:06	Kobbb	Bonjour tout le monde .	Bonjour tout le monde.
																	lun. nov. 03 2014	13:03	cool	bonjour	bonjour je cherche un tutoriel pour installer glpi sous ubuntu
									inform	love									\	je cherche un tutoriel pour installer glpi sous ubuntu	
																	lun. nov. 03 2014	13:27	Marmotte	!wiki glpi	!wiki glpi
									inform	unhappy							lun. nov. 03 2014	13:28	Marmotte	tiens , il boude : o	tiens, il boude :o
																	lun. nov. 03 2014	13:28	Marmotte	http://doc.ubuntu-fr.org/glpi	http://doc.ubuntu-fr.org/glpi
																	lun. nov. 03 2014	13:33	@uBOTu-fr	http://doc.ubuntu-fr.org/glpi	http://doc.ubuntu-fr.org/glpi
																	lun. nov. 03 2014	13:34	Marmotte	...	... merci uBOTu-fr xD
																			\	merci uBOTu-fr xD	
																	lun. nov. 03 2014	15:54	o_be_one	hello	hello
																	lun. nov. 03 2014	15:55	o_be_one	ptite rappel viteuf , comment on voit déjà ladate de creation ( pas de modif ) d'un fichier ?	ptite rappel viteuf, comment on voit déjà ladate de creation (pas de modif) d'un fichier ?
																	lun. nov. 03 2014	16:03	hackar1en	slt tt le monde	slt tt le monde
																	lun. nov. 03 2014	16:04	hackar1en	ya kelkun	ya kelkun
																	lun. nov. 03 2014	16:05	hackar1en	slt ubotu	slt ubotu
																	lun. nov. 03 2014	16:07	hackar1en_	slt	slt
requestForAction									inform	happy							lun. nov. 03 2014	16:08	Sp4rKy	évite le sms déja :)	évite le sms déja :)
																	lun. nov. 03 2014	16:08	Sp4rKy	et pose dont une vrai question	et pose dont une vrai question
																	lun. nov. 03 2014	16:08	Sp4rKy	vraie *	vraie*
																	lun. nov. 03 2014	16:09	hackar1en_	pas de souci	pas de souci
									inform	love							lun. nov. 03 2014	16:09	hackar1en_	je voulais en savoir plus sur le system backbox ce que l,on peut en tirer	je voulais en savoir plus sur le system backbox ce que l,on peut en tirer
																	lun. nov. 03 2014	16:13	hackar1en_	sp4rky pas de reponsse	sp4rky pas de reponsse pas grave a plus tard
					inform	satisfied													\	pas grave	
																			\	a plus tard	
																	lun. nov. 03 2014	16:32	ubuntu_	Plop	Plop
																	lun. nov. 03 2014	16:32	ubuntu_	Y a t-il quelqu'un ???	Y a t-il quelqu'un ???
																ironie	lun. nov. 03 2014	16:32	Marmotte	jamais ,	jamais, pourquoi cette question ?
																			\	pourquoi cette question ?	
					inform	unsatisfied											lun. nov. 03 2014	16:33	ubuntu_	Un probleme sur la doc , un truc a virer vite fait , logiciel pas net , landes eternelles	Un probleme sur la doc , un truc a virer vite fait, logiciel pas net , landes eternelles
					inform	unsatisfied											lun. nov. 03 2014	16:34	ubuntu_	Ce loge dans le swap ....	Ce loge dans le swap ....
					inform	unsatisfied											lun. nov. 03 2014	16:35	ubuntu_	Forum vérolé ...	Forum vérolé ...
					inform	unsatisfied											lun. nov. 03 2014	16:36	ubuntu_	Je n'ai pas mes identifiants sous la main sinon je l' aurais viré ...	Je n'ai pas mes identifiants sous la main sinon je l'aurais viré ...
																	lun. nov. 03 2014	16:37	nesthib	tu peux être un peu plus explicite ?	tu peux être un peu plus explicite ?
							inform	depreciate									lun. nov. 03 2014	16:37	nesthib	parce que là tu ne donne aucune information	parce que là tu ne donne aucune information
					inform	unsatisfied											lun. nov. 03 2014	16:38	ubuntu_	"Jeu pas net , DNS empoisonné , lien vereux envoyés depuis le jeu , Et peut etre meme manipulation psychologique une fois dedans ....	"Jeu pas net, DNS empoisonné, lien vereux envoyés depuis le jeu, Et peut etre meme manipulation psychologique une fois dedans ....
																	lun. nov. 03 2014	16:39	nesthib	donne le lien de la page de doc en question	donne le lien de la page de doc en question
																	lun. nov. 03 2014	16:39	ubuntu_	Je suis un vieux de la doc , mimilus	Je suis un vieux de la doc, mimilus
							inform	depreciate									lun. nov. 03 2014	16:39	nesthib	parce que là ton intervention ne sert à rien	parce que là ton intervention ne sert à rien
																	lun. nov. 03 2014	16:39	nesthib	(sans parler du fait que tu es HS sur ce canal )	(sans parler du fait que tu es HS sur ce canal)
																	lun. nov. 03 2014	16:40	ubuntu_	regarde dans les changements recents dans la doc	regarde dans les changements recents dans la doc j'ai mis un petit mot sur le machin landes eternelles
																			\	j' ai mis un petit mot sur le machin landes eternelles	
																	lun. nov. 03 2014	16:41	nesthib	ça serait bien de motiver un peu ton analyse , envoie donc un mail à la ML doc	ça serait bien de motiver un peu ton analyse, envoie donc un mail à la ML doc
		commit															lun. nov. 03 2014	16:42	ubuntu_	je vais aller voir sur doc-ubuntu	je vais aller voir sur doc-ubuntu
																	lun. nov. 03 2014	16:43	nesthib	#ubuntu-fr-doc	#ubuntu-fr-doc
		requestForAction															lun. nov. 03 2014	16:43	nesthib	mais fais un effort d'explication	mais fais un effort d'explication
																	lun. nov. 03 2014	16:47	ubuntu_	Nesthib créer une vm et essaye le ...	Nesthib créer une vm et essaye le ... tu comprendras... ce n'est pas un truc tres net, on te balance des liens a la con pour que tu ouvre avec ton navigateur, on essaie d'obtenir des informations sur toi ...
																			\	tu comprendras ...	
																			\	ce n'est pas un truc tres net , on te balance des liens a la con pour que tu ouvre avec ton navigateur , on essaie d'obtenir des informations sur toi ...	
																	lun. nov. 03 2014	16:48	ubuntu_	Bref c' est a enlever vite fait de la doc , ca n'a pas sa place ...	Bref c'est a enlever vite fait de la doc, ca n'a pas sa place ...
					inform	unsatisfied											lun. nov. 03 2014	16:48	nesthib	je n'ai ni le temps ni l' envie de faire ça ubuntu _	je n'ai ni le temps ni l'envie de faire ça ubuntu_
																	lun. nov. 03 2014	16:48	nesthib	donc si tu as des infos , donne les ,	donc si tu as des infos, donne les, sinon tu fais aussi perdre leur temps à ceux à qui tu déclares que cette page est à supprimer
																			\	sinon tu fais aussi perdre leur temps à ceux à qui tu déclares que cette page est à supprimer	
																	lun. nov. 03 2014	16:49	nesthib	et tu es HS sur ce canal ,	et tu es HS sur ce canal, continue donc sur #ubuntu-fr-doc
																			\	continue donc sur # ubuntu-fr-doc	
																	lun. nov. 03 2014	16:50	ubuntu_	j'y suis maintenant	j'y suis maintenant
																	lun. nov. 03 2014	17:12	guig33k	salut	salut
					inform	satisfied											lun. nov. 03 2014	17:13	guig33k	je suis tres content de ubuntu contrairement a debian testing le driver fglrx proprietaire marche !!!	je suis tres content de ubuntu contrairement a debian testing le driver fglrx proprietaire marche !!!
					inform	unsatisfied											lun. nov. 03 2014	17:13	guig33k	je ne comprends pas pourquoi sur debian testing ca ne passe pas sachant que ubuntu est basé sur debian	je ne comprends pas pourquoi sur debian testing ca ne passe pas sachant que ubuntu est basé sur debian
																	lun. nov. 03 2014	17:14	guig33k	petite question j ai vu que sur ubuntu on a le choix pour 2 drivers	petite question j ai vu que sur ubuntu on a le choix pour 2 drivers
																	lun. nov. 03 2014	17:14	guig33k	fglrx	fglrx
																	lun. nov. 03 2014	17:14	guig33k	et fglrx-update	et fglrx-update
																	lun. nov. 03 2014	17:14	guig33k	j ai lu que fglrx-update etait le dernier driver	j ai lu que fglrx-update etait le dernier driver
																	lun. nov. 03 2014	17:15	guig33k	et ce qu il vaut mieux utiliser fglrx ou fglrx-update	et ce qu il vaut mieux utiliser fglrx ou fglrx-update
																	lun. nov. 03 2014	17:15	guig33k	?	?
																	lun. nov. 03 2014	17:18	guig33k	y a quelqu un ?	y a quelqu un ?
												announceTopicShift					lun. nov. 03 2014	17:18	guig33k	j ai une autre question	j ai une autre question
		requestForInformation										introduceTopic					lun. nov. 03 2014	17:19	guig33k	sur ubuntu-fr.org il dise de faire la mise a niveau a partir d un cd est ce que si je la fais a partir du gestionnaire de package ca pose pb ?	sur ubuntu-fr.org il dise de faire la mise a niveau a partir d un cd est ce que si je la fais a partir du gestionnaire de package ca pose pb ?
									inform	disgust							lun. nov. 03 2014	17:19	guig33k	j ai pas envis de graver chaque fois un dvd	j ai pas envis de graver chaque fois un dvd
																	lun. nov. 03 2014	17:28	nesthib	tu peux faire la mise à niveau avec internet	tu peux faire la mise à niveau avec internet
		requestForInformation			requestForInformation	satisfied											lun. nov. 03 2014	17:29	guig33k	ca va pas poser de pb	ca va pas poser de pb car sur votre site il dise qu il vaut mieux graver le dvd
		inform					inform	promote											\	car sur votre site il dise qu il vaut mieux graver le dvd	
		requestForInformation															lun. nov. 03 2014	17:29	nesthib	où ça ?	où ça ?
		answer															lun. nov. 03 2014	17:29	guig33k	http://doc.ubuntu-fr.org/migration	http://doc.ubuntu-fr.org/migration
		answerNegatively															lun. nov. 03 2014	17:30	nesthib	la page ne dit pas ça	la page ne dit pas ça
		correct												conditional			lun. nov. 03 2014	17:31	nesthib	elle dit que tu peux tester avec un live CD ou USB et que tu peux utiliser un CD si tu n'as pas update manager	elle dit que tu peux tester avec un live CD ou USB et que tu peux utiliser un CD si tu n'as pas update manager
		inform															lun. nov. 03 2014	17:37	Zic	et pour fglrx , le paquet - update contient la dernière version releasée par AMD/ATI , tandis que le paquet " fglrx " tout court est d'abord testé quelques temps par Ubuntu	et pour fglrx, le paquet -update contient la dernière version releasée par AMD/ATI, tandis que le paquet "fglrx" tout court est d'abord testé quelques temps par Ubuntu
		answer							inform	happy		conclude		conditional			lun. nov. 03 2014	17:37	Zic	globalement , tout dépend si tu fais plutôt confiance ou pas à ton constructeur :)	globalement, tout dépend si tu fais plutôt confiance ou pas à ton constructeur :)
												reformulate					lun. nov. 03 2014	17:38	Zic	ou plus en pratique	ou plus en pratique : as-tu vraiment besoin d'avoir toujours en permanence la dernière version de ton pilote graphique (vidéaste ? gamer ?)
