Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
																	nov. 03 2014 00:17 	tobiasBora	Par contre je suis désolé	Par contre je suis désolé mais je dois y aller
												preclosing					 	 	mais je dois y aller	
																	nov 00:17. 03 2014 00:45 	dourmo	salut tlm	salut tlm
																	nov. 03 201 00:454 01:48 	cisse125	slt tt le monde	slt tt le monde
																	nov. 03 201 01:484 01:48 	cisse125	je suis nv ici	je suis nv ici
																	nov. 03 201 01:484 04:56 	soulseek	soir	'soir
																	nov. 03 201 04:564 04:56 	soulseek	aux noctambumes	aux noctambumes
																	nov. 03 201 04:564 04:56 	soulseek	noctambules *	noctambules*
																	nov. 03 201 04:564 05:03 	soulseek	quelqu'un saurait-il comment supprimer les mots de passes retenus par ubuntu	quelqu'un saurait-il comment supprimer les mots de passes retenus par ubuntu
																	nov. 03 201 05:034 05:03 	soulseek	?	?
																	nov. 03 201 05:034 05:03 	soulseek	suis allé voir dans mon trosseau de clés	suis allé voir dans mon trosseau de clés
					inform	unsatisfied											nov. 03 201 05:034 05:03 	soulseek	mais je ne vois rien	mais je ne vois rien
																	nov. 03 201 05:034 05:04 	soulseek	:(	:(
																	nov. 03 201 05:044 09:41 	jluc	Hello	Hello
					inform	unsatisfied											nov. 03 201 09:414 09:42 	jluc	Bien que l' application calculatrice soit bien associée à la touche calculatrice , la calculatrice ne se lance pas quand j' appuie sur la touche calculatrice	Bien que l'application calculatrice soit bien associée à la touche calculatrice, la calculatrice ne se lance pas quand j'appuie sur la touche calculatrice
																	nov. 03 201 09:424 09:43 	jluc	Comment corriger cela ?	Comment corriger cela ?
																	nov. 03 201 09:434 09:43 	Marmotte	quelle touche calculatrice ?	quelle touche calculatrice ?
																	nov. 03 201 09:434 09:43 	jluc	la touche calculatrice de mon clavier	la touche calculatrice de mon clavier
																	nov. 03 201 09:434 09:44 	jluc	"appelée "" calculator "" dans le dialogue de réglage clavier Ubuntu"	"appelée ""calculator"" dans le dialogue de réglage clavier Ubuntu"
																	nov. 03 201 09:444 09:44 	avelldiroll	"probablement un clavier "" etendu "" avec des touches dans un format proprio , avec un souvent un support aleatoire sous linux"	"probablement un clavier ""etendu"" avec des touches dans un format proprio, avec un souvent un support aleatoire sous linux"
					inform	unsatisfied											nov. 03 201 09:444 09:44 	jluc	ça marchait ya pas si longtemps	ça marchait ya pas si longtemps
		inform													uncertain		nov. 03 201 09:444 09:45 	jluc	Je me souviens plus trop ce que j' ai fait pour que ça marche plus	Je me souviens plus trop ce que j'ai fait pour que ça marche plus
		inform													uncertain		nov. 03 201 09:454 09:46 	jluc	peut être j' ai édité un fichier de raccourcis quelque part - mais je vois pas pourquoi - j' édite les fichiers qui associent un type mime avec une extension , mais pas les raccourcis claviers	peut être j'ai édité un fichier de raccourcis quelque part - mais je vois pas pourquoi - j'édite les fichiers qui associent un type mime avec une extension, mais pas les raccourcis claviers
signalError																	nov. 03 201 09:464 09:46 	jluc	euh je voulais écrire :	euh je voulais écrire : qui associent un type mime avec une application
correct																	 	 	qui associent un type mime avec une application	
		inform													uncertain		nov 09:46. 03 2014 09:47 	jluc	peut être j' ai simplement désassocié temporairement la calculatrice de la touche ' calculator ' avec les réglages ubuntu , et ça revient pas correctement en arrière	peut être j'ai simplement désassocié temporairement la calculatrice de la touche 'calculator' avec les réglages ubuntu, et ça revient pas correctement en arrière
																	nov. 03 201 09:474 09:48 	jluc	"Et la lense "" calcul "" n'est pas activée dans unity non plus"	"Et la lense ""calcul"" n'est pas activée dans unity non plus"
					inform	satisfied											nov. 03 201 09:484 09:55 	jluc	Bon j' ai installé compizsetting-manager et j' ai pu régler ça	Bon j'ai installé compizsetting-manager et j'ai pu régler ça
																	nov. 03 201 09:554 09:56 	jluc	compizconfig-settings-manager plutôt	compizconfig-settings-manager plutôt
																	nov. 03 201 09:564 09:57 	jluc	merci http://askubuntu.com/questions/321525/how-to-connect-a-calculator-button-on-a-keyboard-with-a-call-of-a-calculator	merci http://askubuntu.com/questions/321525/how-to-connect-a-calculator-button-on-a-keyboard-with-a-call-of-a-calculator
																	nov. 03 201 09:574 10:57 	davlefou	Bonjour ,	Bonjour,
																	nov. 03 201 10:574 10:57 	davlefou	si on gnome shell , doit on supprimer unity ?	si on gnome shell, doit on supprimer unity?
					inform	unsatisfied											nov. 03 201 10:574 11:01 	avelldiroll	a priori non , enfin je n'utilise ni l' un ni l' autre , mais je ne vois pas de raison que ca bloque	a priori non, enfin je n'utilise ni l'un ni l'autre, mais je ne vois pas de raison que ca bloque
signalError																	nov. 03 201 11:014 11:04 	Marmotte	la réponse dépend peut être du mot manquant : D	la réponse dépend peut être du mot manquant :D
																	nov. 03 201 11:044 11:06 	avelldiroll	:)	:)
																	nov. 03 201 11:064 11:07 	avelldiroll	exact ,	"exact, je repondais avec le mot ""installe"" dans la question"
correct																	 	 	"je repondais avec le mot "" installe "" dans la question"	
inform																	nov 11:07. 03 2014 11:07 	avelldiroll	"mais ca marche aussi avec "" utilise """	"mais ca marche aussi avec ""utilise"""
inform																	nov. 03 201 11:074 11:07 	avelldiroll	"avec "" supprime "" y a un on potentiel de betises par contre"	"avec ""supprime"" y a un on potentiel de betises par contre"
requestForInformation																	nov. 03 201 11:074 11:08 	Marmotte	"et avec "" développe "", ça donne quoi ?"	"et avec ""développe"", ça donne quoi ? ^^"
																	 	 	^^	
																	nov 11:08. 03 2014 11:50 	nW44b	haha	haha
																	nov. 03 201 11:504 12:06 	Kobbb	Bonjour tout le monde .	Bonjour tout le monde.
																	nov. 03 201 12:064 13:03 	cool	bonjour	bonjour je cherche un tutoriel pour installer glpi sous ubuntu
									inform	love							 	 	je cherche un tutoriel pour installer glpi sous ubuntu	
																	nov 13:03. 03 2014 13:27 	Marmotte	!wiki glpi	!wiki glpi
									inform	unhappy							nov. 03 201 13:274 13:28 	Marmotte	tiens , il boude : o	tiens, il boude :o
																	nov. 03 201 13:284 13:28 	Marmotte	http://doc.ubuntu-fr.org/glpi	http://doc.ubuntu-fr.org/glpi
																	nov. 03 201 13:284 13:33 	@uBOTu-fr	http://doc.ubuntu-fr.org/glpi	http://doc.ubuntu-fr.org/glpi
																	nov. 03 201 13:334 13:34 	Marmotte	...	... merci uBOTu-fr xD
																	 	 	merci uBOTu-fr xD	
																	nov 13:34. 03 2014 15:54 	o_be_one	hello	hello
																	nov. 03 201 15:544 15:55 	o_be_one	ptite rappel viteuf , comment on voit déjà ladate de creation ( pas de modif ) d'un fichier ?	ptite rappel viteuf, comment on voit déjà ladate de creation (pas de modif) d'un fichier ?
																	nov. 03 201 15:554 16:03 	hackar1en	slt tt le monde	slt tt le monde
																	nov. 03 201 16:034 16:04 	hackar1en	ya kelkun	ya kelkun
																	nov. 03 201 16:044 16:05 	hackar1en	slt ubotu	slt ubotu
																	nov. 03 201 16:054 16:07 	hackar1en_	slt	slt
requestForAction									inform	happy							nov. 03 201 16:074 16:08 	Sp4rKy	évite le sms déja :)	évite le sms déja :)
																	nov. 03 201 16:084 16:08 	Sp4rKy	et pose dont une vrai question	et pose dont une vrai question
																	nov. 03 201 16:084 16:08 	Sp4rKy	vraie *	vraie*
																	nov. 03 201 16:084 16:09 	hackar1en_	pas de souci	pas de souci
									inform	love							nov. 03 201 16:094 16:09 	hackar1en_	je voulais en savoir plus sur le system backbox ce que l,on peut en tirer	je voulais en savoir plus sur le system backbox ce que l,on peut en tirer
																	nov. 03 201 16:094 16:13 	hackar1en_	sp4rky pas de reponsse	sp4rky pas de reponsse pas grave a plus tard
					inform	satisfied											 	 	pas grave	
																	16:13:00	16:13:00	a plus tard	
																	nov. 03 2014 16:32 	ubuntu_	Plop	Plop
																	nov. 03 201 16:324 16:32 	ubuntu_	Y a t-il quelqu'un ???	Y a t-il quelqu'un ???
																ironie	nov. 03 201 16:324 16:32 	Marmotte	jamais ,	jamais, pourquoi cette question ?
																	 	 	pourquoi cette question ?	
					inform	unsatisfied											nov 16:32. 03 2014 16:33 	ubuntu_	Un probleme sur la doc , un truc a virer vite fait , logiciel pas net , landes eternelles	Un probleme sur la doc , un truc a virer vite fait, logiciel pas net , landes eternelles
					inform	unsatisfied											nov. 03 201 16:334 16:34 	ubuntu_	Ce loge dans le swap ....	Ce loge dans le swap ....
					inform	unsatisfied											nov. 03 201 16:344 16:35 	ubuntu_	Forum vérolé ...	Forum vérolé ...
					inform	unsatisfied											nov. 03 201 16:354 16:36 	ubuntu_	Je n'ai pas mes identifiants sous la main sinon je l' aurais viré ...	Je n'ai pas mes identifiants sous la main sinon je l'aurais viré ...
																	nov. 03 201 16:364 16:37 	nesthib	tu peux être un peu plus explicite ?	tu peux être un peu plus explicite ?
							inform	depreciate									nov. 03 201 16:374 16:37 	nesthib	parce que là tu ne donne aucune information	parce que là tu ne donne aucune information
